,Unnamed: 0,newid,seqno,expname,cost_flag,ref_mo,ref_yr,gift,cost,fam_size,family_income_before_tax,calibration_weight,number_of_earners,interview_month,interview_year,sex_ref,total_expenditure_prior_quarter,total_expenditure_current_quarter,sampling_state,imputed_income_before_tax,division,urban,product_description,region_description,sampling_city,Population_bucket
11,21,5343964,51,QADINE3X,Valid value (unadjusted),January,2024,False,100,2,132050,13857.812,2,February,2024,Female,43611.4623,17921.7311,California,316570.4,Pacific,Urban,Computer information services (internet),West,San Diego-Carlsbad,1-5 Million
12,24,5344084,47,QADINE3X,Valid value (unadjusted),January,2024,False,40,3,105000,17937.713,3,February,2024,Male,24529.5667,8084.7834,Minnesota,116090.8,West North Central,Urban,Computer information services (internet),Midwest,Minneapolis-St. Paul-Bloomington,1-5 Million
13,25,5344084,48,TELCEL3X,Valid value (unadjusted),January,2024,False,108,3,105000,17937.713,3,February,2024,Male,24529.5667,8084.7834,Minnesota,116090.8,West North Central,Urban,Cellular phone service,Midwest,Minneapolis-St. Paul-Bloomington,1-5 Million
14,30,5344164,33,QADCAB3X,Valid value (allocated),January,2024,False,121,1,66396,31174.782,0,February,2024,Male,6042.3333,4467.6667,Florida,66396.0,South Central,Urban,Cable and satellite television services,South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
15,31,5344164,33,QADINE3X,Valid value (allocated),January,2024,False,81,1,66396,31174.782,0,February,2024,Male,6042.3333,4467.6667,Florida,66396.0,South Central,Urban,Computer information services (internet),South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
16,32,5344164,33,TELRES3X,Valid value (allocated),January,2024,False,74,1,66396,31174.782,0,February,2024,Male,6042.3333,4467.6667,Florida,66396.0,South Central,Urban,Residential telephone including VOIP,South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
17,48,5344354,29,TELCEL3X,Valid value (unadjusted),January,2024,False,120,4,100000,42241.304,2,February,2024,Male,11696.6667,6845.8333,Texas,100000.0,West South Central,Urban,Cellular phone service,South,Dallas-Fort Worth-Arlington,5+ Million
18,49,5344354,30,QADINE3X,Valid value (unadjusted),January,2024,False,70,4,100000,42241.304,2,February,2024,Male,11696.6667,6845.8333,Texas,100000.0,West South Central,Urban,Computer information services (internet),South,Dallas-Fort Worth-Arlington,5+ Million
19,50,5344364,31,QADCAB3X,Valid value (allocated),January,2024,False,136,2,235000,6191.288,2,February,2024,Male,21769.3335,10165.1667,Hawaii,235000.0,Pacific,Urban,Cable and satellite television services,West,Honolulu,0.5-1.0 Million
20,51,5344364,31,QADINE3X,Valid value (allocated),January,2024,False,84,2,235000,6191.288,2,February,2024,Male,21769.3335,10165.1667,Hawaii,235000.0,Pacific,Urban,Computer information services (internet),West,Honolulu,0.5-1.0 Million
21,52,5344364,32,TELCEL3X,Valid value (unadjusted),January,2024,False,180,2,235000,6191.288,2,February,2024,Male,21769.3335,10165.1667,Hawaii,235000.0,Pacific,Urban,Cellular phone service,West,Honolulu,0.5-1.0 Million
22,54,5344514,37,TELCEL3X,Valid value (allocated),January,2024,False,119,2,175000,2020.201,2,February,2024,Male,66827.6667,6222.3334,Alaska,175000.0,Pacific,Rural,Cellular phone service,West,Anchorage,100-500 Thousands
23,55,5344514,37,QADINE3X,Valid value (allocated),January,2024,False,61,2,175000,2020.201,2,February,2024,Male,66827.6667,6222.3334,Alaska,175000.0,Pacific,Rural,Computer information services (internet),West,Anchorage,100-500 Thousands
24,57,5344544,14,QADINE3X,Valid value (unadjusted),January,2024,False,125,3,68000,28482.203,2,February,2024,Female,8587.0,4759.5,Arizona,68000.0,Mountain,Urban,Computer information services (internet),West,Phoenix-Mesa-Scottsdale,1-5 Million
25,58,5344544,15,TELCEL3X,Valid value (unadjusted),January,2024,False,85,3,68000,28482.203,2,February,2024,Female,8587.0,4759.5,Arizona,68000.0,Mountain,Urban,Cellular phone service,West,Phoenix-Mesa-Scottsdale,1-5 Million
26,59,5344564,52,QADINE3X,Valid value (unadjusted),January,2024,False,70,4,566567,20070.741,2,February,2024,Male,33567.0437,16910.0219,Massachusetts,480849.8,New England,Urban,Computer information services (internet),Northeast,Boston-Cambridge-Newton,1-5 Million
27,60,5344564,53,TELCEL3X,Valid value (unadjusted),January,2024,False,120,4,566567,20070.741,2,February,2024,Male,33567.0437,16910.0219,Massachusetts,480849.8,New England,Urban,Cellular phone service,Northeast,Boston-Cambridge-Newton,1-5 Million
28,62,5344634,31,QADINE3X,Valid value (unadjusted),January,2024,False,231,2,29196,29681.569,1,February,2024,Male,10373.0333,4640.0166,New Jersey,80127.2,Middle Atlantic,Urban,Computer information services (internet),Northeast,Philadelphia-Camden-Wilmington,5+ Million
29,63,5344634,32,TELCEL3X,Valid value (unadjusted),January,2024,False,46,2,29196,29681.569,1,February,2024,Male,10373.0333,4640.0166,New Jersey,80127.2,Middle Atlantic,Urban,Cellular phone service,Northeast,Philadelphia-Camden-Wilmington,5+ Million
30,64,5344664,20,QADINE3X,Valid value (unadjusted),January,2024,False,97,1,51000,31805.299,1,February,2024,Female,26611.6667,5005.8334,Illinois,51000.0,East North Central,Urban,Computer information services (internet),Midwest,Chicago-Naperville-Elgin,5+ Million
31,65,5344664,21,TELCEL3X,Valid value (unadjusted),January,2024,False,67,1,51000,31805.299,1,February,2024,Female,26611.6667,5005.8334,Illinois,51000.0,East North Central,Urban,Cellular phone service,Midwest,Chicago-Naperville-Elgin,5+ Million
32,66,5344704,16,TELCEL3X,Valid value (unadjusted),January,2024,False,239,4,12000,31512.876,4,February,2024,Female,10995.9667,5076.9834,California,88522.4,Pacific,Urban,Cellular phone service,West,Los Angeles-Long Beach-Anaheim,5+ Million
33,67,5344704,17,QADINE3X,Valid value (unadjusted),January,2024,False,100,4,12000,31512.876,4,February,2024,Female,10995.9667,5076.9834,California,88522.4,Pacific,Urban,Computer information services (internet),West,Los Angeles-Long Beach-Anaheim,5+ Million
34,70,5344724,63,TELCEL3X,Valid value (unadjusted),January,2024,False,240,5,362496,29044.313,3,February,2024,Male,22866.4209,14409.7104,New Jersey,362496.0,Middle Atlantic,Urban,Cellular phone service,Northeast,New York-Newark-Jersey City,5+ Million
35,71,5344724,64,QADCAB3X,Valid value (allocated),January,2024,False,164,5,362496,29044.313,3,February,2024,Male,22866.4209,14409.7104,New Jersey,362496.0,Middle Atlantic,Urban,Cable and satellite television services,Northeast,New York-Newark-Jersey City,5+ Million
36,72,5344724,64,QADINE3X,Valid value (allocated),January,2024,False,85,5,362496,29044.313,3,February,2024,Male,22866.4209,14409.7104,New Jersey,362496.0,Middle Atlantic,Urban,Computer information services (internet),Northeast,New York-Newark-Jersey City,5+ Million
37,73,5344724,64,TELRES3X,Valid value (allocated),January,2024,False,103,5,362496,29044.313,3,February,2024,Male,22866.4209,14409.7104,New Jersey,362496.0,Middle Atlantic,Urban,Residential telephone including VOIP,Northeast,New York-Newark-Jersey City,5+ Million
38,74,5344744,35,QADINE3X,Valid value (unadjusted),January,2024,False,225,1,103200,15404.006,1,February,2024,Male,11042.8333,6809.9166,Missouri,103200.0,West North Central,Urban,Computer information services (internet),Midwest,St. Louis,1-5 Million
39,75,5344744,36,TELCEL3X,Valid value (unadjusted),January,2024,False,120,1,103200,15404.006,1,February,2024,Male,11042.8333,6809.9166,Missouri,103200.0,West North Central,Urban,Cellular phone service,Midwest,St. Louis,1-5 Million
40,76,5344764,15,QADINE3X,Valid value (unadjusted),January,2024,False,100,1,45500,24789.211,1,February,2024,Male,6234.8334,2840.9167,Texas,45500.0,West South Central,Urban,Computer information services (internet),South,Houston-The Woodlands-Sugar Land,5+ Million
41,77,5344764,16,TELCEL3X,Valid value (unadjusted),January,2024,False,200,1,45500,24789.211,1,February,2024,Male,6234.8334,2840.9167,Texas,45500.0,West South Central,Urban,Cellular phone service,South,Houston-The Woodlands-Sugar Land,5+ Million
42,86,5344834,27,TELCEL3X,Valid value (unadjusted),January,2024,False,120,3,0,34293.009,0,February,2024,Female,18488.1667,7919.0833,California,6304.8,Pacific,Urban,Cellular phone service,West,Los Angeles-Long Beach-Anaheim,5+ Million
43,87,5344834,28,QADINE3X,Valid value (unadjusted),January,2024,False,85,3,0,34293.009,0,February,2024,Female,18488.1667,7919.0833,California,6304.8,Pacific,Urban,Computer information services (internet),West,Los Angeles-Long Beach-Anaheim,5+ Million
44,91,5344964,39,QADINE3X,Valid value (unadjusted),January,2024,False,81,2,320300,26788.828,2,February,2024,Male,26857.1281,12664.5641,California,320300.0,Pacific,Urban,Computer information services (internet),West,Los Angeles-Long Beach-Anaheim,5+ Million
45,97,5345024,62,TELCEL3X,Valid value (topcoded/suppressed),January,2024,False,537,5,292500,42697.002,5,February,2024,Male,62975.5313,35042.2657,New Jersey,367472.4,Middle Atlantic,Urban,Cellular phone service,Northeast,New York-Newark-Jersey City,5+ Million
46,98,5345024,63,QADINE3X,Valid value (topcoded/suppressed),January,2024,False,322,5,292500,42697.002,5,February,2024,Male,62975.5313,35042.2657,New Jersey,367472.4,Middle Atlantic,Urban,Computer information services (internet),Northeast,New York-Newark-Jersey City,5+ Million
47,105,5345194,55,QADINE3X,Valid value (unadjusted),January,2024,False,99,3,337500,34471.845,2,February,2024,Male,32588.7771,11494.8885,Virginia,642865.0,South Central,Urban,Computer information services (internet),South,Washington-Arlington-Alexandria,5+ Million
48,108,5345254,26,QADCAB3X,Valid value (allocated),January,2024,False,145,1,54432,21640.554,0,February,2024,Male,10832.5333,4582.2667,California,54432.0,Pacific,Urban,Cable and satellite television services,West,San Francisco-Oakland-Hayward,1-5 Million
49,109,5345254,26,QADINE3X,Valid value (allocated),January,2024,False,70,1,54432,21640.554,0,February,2024,Male,10832.5333,4582.2667,California,54432.0,Pacific,Urban,Computer information services (internet),West,San Francisco-Oakland-Hayward,1-5 Million
50,120,5345414,10,QADINE3X,Valid value (unadjusted),January,2024,False,47,3,25000,18227.313,1,February,2024,Female,6436.1667,3418.0834,California,25000.0,Pacific,Urban,Computer information services (internet),West,Riverside-San Bernardino-Ontario,1-5 Million
51,121,5345414,11,QADCAB3X,Valid value (unadjusted),January,2024,False,120,3,25000,18227.313,1,February,2024,Female,6436.1667,3418.0834,California,25000.0,Pacific,Urban,Cable and satellite television services,West,Riverside-San Bernardino-Ontario,1-5 Million
52,122,5345414,12,TELCEL3X,Valid value (unadjusted),January,2024,False,106,3,25000,18227.313,1,February,2024,Female,6436.1667,3418.0834,California,25000.0,Pacific,Urban,Cellular phone service,West,Riverside-San Bernardino-Ontario,1-5 Million
53,126,5345484,47,TELCEL3X,Valid value (unadjusted),January,2024,False,130,2,170000,29131.247,2,February,2024,Male,23615.9999,7612.4999,New York,170000.0,Middle Atlantic,Urban,Cellular phone service,Northeast,New York-Newark-Jersey City,5+ Million
54,127,5345484,48,QADCAB3X,Valid value (allocated),January,2024,False,70,2,170000,29131.247,2,February,2024,Male,23615.9999,7612.4999,New York,170000.0,Middle Atlantic,Urban,Cable and satellite television services,Northeast,New York-Newark-Jersey City,5+ Million
55,128,5345484,48,QADINE3X,Valid value (allocated),January,2024,False,36,2,170000,29131.247,2,February,2024,Male,23615.9999,7612.4999,New York,170000.0,Middle Atlantic,Urban,Computer information services (internet),Northeast,New York-Newark-Jersey City,5+ Million
56,129,5345484,48,TELRES3X,Valid value (allocated),January,2024,False,44,2,170000,29131.247,2,February,2024,Male,23615.9999,7612.4999,New York,170000.0,Middle Atlantic,Urban,Residential telephone including VOIP,Northeast,New York-Newark-Jersey City,5+ Million
57,136,5345584,36,TELCEL3X,Valid value (allocated),January,2024,False,135,1,222000,27219.289,1,February,2024,Female,27562.6667,10990.3333,Texas,222000.0,West South Central,Urban,Cellular phone service,South,Houston-The Woodlands-Sugar Land,5+ Million
58,137,5345584,36,QADINE3X,Valid value (allocated),January,2024,False,75,1,222000,27219.289,1,February,2024,Female,27562.6667,10990.3333,Texas,222000.0,West South Central,Urban,Computer information services (internet),South,Houston-The Woodlands-Sugar Land,5+ Million
59,138,5345594,8,TELCEL3X,Valid value (unadjusted),January,2024,False,55,2,25560,26841.34,0,February,2024,Female,4626.6667,2323.3333,New Jersey,25560.0,Middle Atlantic,Urban,Cellular phone service,Northeast,New York-Newark-Jersey City,5+ Million
60,141,5345674,15,TELCEL3X,Valid value (unadjusted),January,2024,False,70,1,43000,30507.361,1,February,2024,Female,5376.2999,2374.15,California,45880.0,Pacific,Urban,Cellular phone service,West,Los Angeles-Long Beach-Anaheim,5+ Million
61,142,5345674,16,QADINE3X,Valid value (unadjusted),January,2024,False,25,1,43000,30507.361,1,February,2024,Female,5376.2999,2374.15,California,45880.0,Pacific,Urban,Computer information services (internet),West,Los Angeles-Long Beach-Anaheim,5+ Million
62,152,5345764,35,QADCAB3X,Valid value (allocated),January,2024,False,145,2,135000,35741.951,2,February,2024,Female,9858.0333,7602.5166,Georgia,135716.0,South Central,Urban,Cable and satellite television services,South,Atlanta-Sandy Springs-Roswell,5+ Million
63,153,5345764,35,QADINE3X,Valid value (allocated),January,2024,False,90,2,135000,35741.951,2,February,2024,Female,9858.0333,7602.5166,Georgia,135716.0,South Central,Urban,Computer information services (internet),South,Atlanta-Sandy Springs-Roswell,5+ Million
64,154,5345764,36,TELCEL3X,Valid value (unadjusted),January,2024,False,152,2,135000,35741.951,2,February,2024,Female,9858.0333,7602.5166,Georgia,135716.0,South Central,Urban,Cellular phone service,South,Atlanta-Sandy Springs-Roswell,5+ Million
65,162,5345894,23,TELCEL3X,Valid value (allocated),January,2024,False,68,4,91000,41136.052,1,February,2024,Female,8750.2999,2850.15,Florida,74671.0,South Central,Urban,Cellular phone service,South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
66,163,5345894,23,QADINE3X,Valid value (allocated),January,2024,False,44,4,91000,41136.052,1,February,2024,Female,8750.2999,2850.15,Florida,74671.0,South Central,Urban,Computer information services (internet),South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
67,164,5345894,23,TELRES3X,Valid value (allocated),January,2024,False,83,4,91000,41136.052,1,February,2024,Female,8750.2999,2850.15,Florida,74671.0,South Central,Urban,Residential telephone including VOIP,South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
68,174,5345964,33,TELCEL3X,Valid value (allocated),January,2024,False,151,2,268000,2117.189,2,February,2024,Male,17654.3773,11885.1886,Alaska,268000.0,Pacific,Rural,Cellular phone service,West,Anchorage,100-500 Thousands
69,175,5345964,33,QADCAB3X,Valid value (allocated),January,2024,False,127,2,268000,2117.189,2,February,2024,Male,17654.3773,11885.1886,Alaska,268000.0,Pacific,Rural,Cable and satellite television services,West,Anchorage,100-500 Thousands
70,176,5345964,33,QADINE3X,Valid value (allocated),January,2024,False,78,2,268000,2117.189,2,February,2024,Male,17654.3773,11885.1886,Alaska,268000.0,Pacific,Rural,Computer information services (internet),West,Anchorage,100-500 Thousands
71,177,5345964,34,TELCEL3X,Valid value (unadjusted),January,2024,False,195,2,268000,2117.189,2,February,2024,Male,17654.3773,11885.1886,Alaska,268000.0,Pacific,Rural,Cellular phone service,West,Anchorage,100-500 Thousands
72,185,5346074,40,TELCEL3X,Valid value (allocated),January,2024,False,92,1,102000,8752.498,1,February,2024,Female,15512.5,6328.25,Maryland,102000.0,South Central,Urban,Cellular phone service,South,Baltimore-Columbia-Towson,1-5 Million
73,186,5346074,40,QADCAB3X,Valid value (allocated),January,2024,False,86,1,102000,8752.498,1,February,2024,Female,15512.5,6328.25,Maryland,102000.0,South Central,Urban,Cable and satellite television services,South,Baltimore-Columbia-Towson,1-5 Million
74,187,5346074,40,QADINE3X,Valid value (allocated),January,2024,False,63,1,102000,8752.498,1,February,2024,Female,15512.5,6328.25,Maryland,102000.0,South Central,Urban,Computer information services (internet),South,Baltimore-Columbia-Towson,1-5 Million
75,188,5346074,41,TELCEL3X,Valid value (unadjusted),January,2024,False,143,1,102000,8752.498,1,February,2024,Female,15512.5,6328.25,Maryland,102000.0,South Central,Urban,Cellular phone service,South,Baltimore-Columbia-Towson,1-5 Million
76,189,5346074,42,TELCEL3X,Valid value (unadjusted),January,2024,False,160,1,102000,8752.498,1,February,2024,Female,15512.5,6328.25,Maryland,102000.0,South Central,Urban,Cellular phone service,South,Baltimore-Columbia-Towson,1-5 Million
77,190,5346094,32,TELCEL3X,Valid value (unadjusted),January,2024,False,80,5,68000,38703.869,1,February,2024,Female,11933.0,5233.5,California,68000.0,Pacific,Urban,Cellular phone service,West,Los Angeles-Long Beach-Anaheim,5+ Million
78,191,5346094,33,QADINE3X,Valid value (unadjusted),January,2024,False,75,5,68000,38703.869,1,February,2024,Female,11933.0,5233.5,California,68000.0,Pacific,Urban,Computer information services (internet),West,Los Angeles-Long Beach-Anaheim,5+ Million
79,192,5346104,28,TELCEL3X,Valid value (unadjusted),January,2024,False,99,2,14000,36282.39,1,February,2024,Female,6327.5,2841.25,Georgia,28048.8,South Central,Urban,Cellular phone service,South,Atlanta-Sandy Springs-Roswell,5+ Million
80,193,5346104,29,QADCAB3X,Valid value (allocated),January,2024,False,95,2,14000,36282.39,1,February,2024,Female,6327.5,2841.25,Georgia,28048.8,South Central,Urban,Cable and satellite television services,South,Atlanta-Sandy Springs-Roswell,5+ Million
81,194,5346104,29,QADINE3X,Valid value (allocated),January,2024,False,55,2,14000,36282.39,1,February,2024,Female,6327.5,2841.25,Georgia,28048.8,South Central,Urban,Computer information services (internet),South,Atlanta-Sandy Springs-Roswell,5+ Million
82,195,5346124,23,TELCEL3X,Valid value (unadjusted),January,2024,False,25,1,66396,2247.947,1,February,2024,Female,16531.8334,6286.9167,Alaska,66396.0,Pacific,Urban,Cellular phone service,West,Anchorage,100-500 Thousands
83,196,5346124,23,QADINE3X,Valid value (unadjusted),January,2024,False,50,1,66396,2247.947,1,February,2024,Female,16531.8334,6286.9167,Alaska,66396.0,Pacific,Urban,Computer information services (internet),West,Anchorage,100-500 Thousands
84,197,5346134,16,QADINE3X,Valid value (unadjusted),January,2024,False,120,1,569367,20715.397,1,February,2024,Female,23057.5439,10829.7719,Massachusetts,485481.6,New England,Urban,Computer information services (internet),Northeast,Boston-Cambridge-Newton,1-5 Million
85,198,5346134,17,TELCEL3X,Valid value (unadjusted),January,2024,False,150,1,569367,20715.397,1,February,2024,Female,23057.5439,10829.7719,Massachusetts,485481.6,New England,Urban,Cellular phone service,Northeast,Boston-Cambridge-Newton,1-5 Million
86,205,5346244,31,TELCEL3X,Valid value (unadjusted),January,2024,False,180,3,229000,12364.052,2,February,2024,Male,18133.8209,10423.9105,Maryland,229000.0,South Central,Urban,Cellular phone service,South,Baltimore-Columbia-Towson,1-5 Million
87,206,5346244,32,QADINE3X,Valid value (unadjusted),January,2024,False,35,3,229000,12364.052,2,February,2024,Male,18133.8209,10423.9105,Maryland,229000.0,South Central,Urban,Computer information services (internet),South,Baltimore-Columbia-Towson,1-5 Million
88,207,5346264,8,QADINE3X,Valid value (unadjusted),January,2024,False,85,3,50000,23515.281,1,February,2024,Female,9866.8,4943.4,Massachusetts,68639.0,New England,Urban,Computer information services (internet),Northeast,Boston-Cambridge-Newton,1-5 Million
89,208,5346264,9,TELCEL3X,Valid value (unadjusted),January,2024,False,50,3,50000,23515.281,1,February,2024,Female,9866.8,4943.4,Massachusetts,68639.0,New England,Urban,Cellular phone service,Northeast,Boston-Cambridge-Newton,1-5 Million
90,211,5346284,6,TELCEL3X,Valid value (unadjusted),January,2024,False,20,1,0,13313.514,0,February,2024,Female,9824.6667,4922.3333,California,22627.2,Pacific,Urban,Cellular phone service,West,Riverside-San Bernardino-Ontario,1-5 Million
91,221,5346404,77,TELCEL3X,Valid value (unadjusted),January,2024,False,200,4,249350,17039.765,4,February,2024,Male,91503.5,8489.75,Missouri,250383.8,West North Central,Urban,Cellular phone service,Midwest,St. Louis,1-5 Million
92,222,5346404,78,QADINE3X,Valid value (unadjusted),January,2024,False,80,4,249350,17039.765,4,February,2024,Male,91503.5,8489.75,Missouri,250383.8,West North Central,Urban,Computer information services (internet),Midwest,St. Louis,1-5 Million
93,223,5346414,27,TELCEL3X,Valid value (unadjusted),January,2024,False,151,2,86132,12488.886,2,February,2024,Male,12537.5001,5753.75,Florida,86610.8,South Central,Urban,Cellular phone service,South,Tampa-St. Petersburg-Clearwater,1-5 Million
94,224,5346414,28,QADINE3X,Valid value (unadjusted),January,2024,False,50,2,86132,12488.886,2,February,2024,Male,12537.5001,5753.75,Florida,86610.8,South Central,Urban,Computer information services (internet),South,Tampa-St. Petersburg-Clearwater,1-5 Million
95,228,5346444,18,TELCEL3X,Valid value (allocated),January,2024,False,155,1,29752,27775.031,0,February,2024,Female,3094.0,1879.0,New Jersey,29752.0,Middle Atlantic,Urban,Cellular phone service,Northeast,Philadelphia-Camden-Wilmington,5+ Million
96,229,5346444,18,QADINE3X,Valid value (allocated),January,2024,False,125,1,29752,27775.031,0,February,2024,Female,3094.0,1879.0,New Jersey,29752.0,Middle Atlantic,Urban,Computer information services (internet),Northeast,Philadelphia-Camden-Wilmington,5+ Million
97,234,5346484,20,TELCEL3X,Valid value (unadjusted),January,2024,False,20,2,32000,38511.036,2,February,2024,Female,11397.5667,3938.7834,Florida,31855.8,South Central,Urban,Cellular phone service,South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
98,235,5346484,21,QADINE3X,Valid value (unadjusted),January,2024,False,9,2,32000,38511.036,2,February,2024,Female,11397.5667,3938.7834,Florida,31855.8,South Central,Urban,Computer information services (internet),South,Miami-Fort Lauderdale-West Palm Beach,5+ Million
99,238,5346514,41,QADCAB3X,Valid value (allocated),January,2024,False,139,1,30896,21252.45,0,February,2024,Female,8388.3333,3498.6667,Michigan,30896.0,East North Central,Urban,Cable and satellite television services,Midwest,Detroit-Warren-Dearborn,1-5 Million
100,239,5346514,41,QADINE3X,Valid value (allocated),January,2024,False,90,1,30896,21252.45,0,February,2024,Female,8388.3333,3498.6667,Michigan,30896.0,East North Central,Urban,Computer information services (internet),Midwest,Detroit-Warren-Dearborn,1-5 Million
101,240,5346584,14,QADCAB3X,Valid value (allocated),January,2024,False,90,2,10648,5415.778,1,February,2024,Male,7707.0,3835.0,Hawaii,10648.0,Pacific,Urban,Cable and satellite television services,West,Honolulu,0.5-1.0 Million
102,241,5346584,14,QADINE3X,Valid value (allocated),January,2024,False,49,2,10648,5415.778,1,February,2024,Male,7707.0,3835.0,Hawaii,10648.0,Pacific,Urban,Computer information services (internet),West,Honolulu,0.5-1.0 Million
103,242,5346584,14,TELRES3X,Valid value (allocated),January,2024,False,31,2,10648,5415.778,1,February,2024,Male,7707.0,3835.0,Hawaii,10648.0,Pacific,Urban,Residential telephone including VOIP,West,Honolulu,0.5-1.0 Million
104,243,5346584,15,TELCEL3X,Valid value (unadjusted),January,2024,False,80,2,10648,5415.778,1,February,2024,Male,7707.0,3835.0,Hawaii,10648.0,Pacific,Urban,Cellular phone service,West,Honolulu,0.5-1.0 Million
105,272,5347154,31,QADINE3X,Valid value (unadjusted),January,2024,False,95,3,178000,16264.039,2,February,2024,Female,85060.1667,10232.0833,California,178000.0,Pacific,Urban,Computer information services (internet),West,San Diego-Carlsbad,1-5 Million
106,274,5347304,37,QADINE3X,Valid value (unadjusted),January,2024,False,70,1,200400,21477.142,1,February,2024,Female,12756.8333,8036.9166,Washington,200400.0,Pacific,Urban,Computer information services (internet),West,Seattle-Tacoma-Bellevue,1-5 Million
107,275,5347304,38,TELCEL3X,Valid value (unadjusted),January,2024,False,182,1,200400,21477.142,1,February,2024,Female,12756.8333,8036.9166,Washington,200400.0,Pacific,Urban,Cellular phone service,West,Seattle-Tacoma-Bellevue,1-5 Million
108,277,5347364,35,TELRES3X,Valid value (unadjusted),January,2024,False,56,1,62319,2247.947,0,February,2024,Female,10192.0,7040.0,Alaska,62319.0,Pacific,Urban,Residential telephone including VOIP,West,Anchorage,100-500 Thousands
109,278,5347364,36,QADCAB3X,Valid value (unadjusted),January,2024,False,165,1,62319,2247.947,0,February,2024,Female,10192.0,7040.0,Alaska,62319.0,Pacific,Urban,Cable and satellite television services,West,Anchorage,100-500 Thousands
110,279,5347364,37,QADINE3X,Valid value (unadjusted),January,2024,False,90,1,62319,2247.947,0,February,2024,Female,10192.0,7040.0,Alaska,62319.0,Pacific,Urban,Computer information services (internet),West,Anchorage,100-500 Thousands
111,280,5347364,38,TELCEL3X,Valid value (unadjusted),January,2024,False,102,1,62319,2247.947,0,February,2024,Female,10192.0,7040.0,Alaska,62319.0,Pacific,Urban,Cellular phone service,West,Anchorage,100-500 Thousands
112,285,5347444,15,TELCEL3X,Valid value (unadjusted),January,2024,False,104,1,75000,10966.073,1,February,2024,Male,7358.6667,3107.8334,Maryland,75000.0,South Central,Urban,Cellular phone service,South,Baltimore-Columbia-Towson,1-5 Million
